date,sentence,diff_line,business,county,Unnamed: 5,business_prediction,success?
21-Jul,79,Reopening must balance careful planning and diligent follow through to protect those that depend on you for employment and those that rely on your goods and services.,1.0,kitsap,Washington,0,FAIL
,3113,"Community Transit   Service Updates   Effective at 5 a.m. on Friday, March 20, and until further notice,  Community Transit   has implemented the following policy changes for  public health and employee safety:          All Community Transit buses will be fare free.",0.0,snohomish,Washington,1,FAIL
21-Jul,306,"Wear a face covering in indoor public spaces except when you eat, and outdoors when you cannot stay six feet (or two meters) away from others at all times.",0.0,kitsap,Washington,1,FAIL
,12770,"The MOU goes on to address  use of sick leave after 14 days, and the ability to borrow against future  sick leave.",1.0,polk,Iowa,0,FAIL
21-Jul,184,see-through shields at cashier stations).,1.0,kitsap,Washington,0,FAIL
21-Jul,183,Implement or maintain physical barriers for high-contact settings (e.g.,1.0,kitsap,Washington,0,FAIL
21-Jul,181,Aisles are marked with 1-way directional notices.,1.0,kitsap,Washington,0,FAIL
21-Jul,92,"Back-to-Business Toolkit | Page 2Safe Start Washington Governor Jay Inslee Governor Jay Inslee, in collaboration with the Washington State Department of Health, has established a data-driven approach to reopen Washington and modify physical distancing measures while minimizing the health impacts of COVID-19.",0.0,kitsap,Washington,1,FAIL
21-Jul,217,A see-though barrier has been installed at the check out counter.,1.0,kitsap,Washington,0,FAIL
21-Jul,90,"Lastly, we have provided information directly from resources such as the Centers for Disease Control (CDC), Kitsap County COVID-19, Occupational Safety and Health Administration (OSHA) and others, but understand this guidance is advisory in nature and informational in content.",0.0,kitsap,Washington,1,FAIL
,13136,"Housing  Group   Eric Kool, Polk County  Comm , Family, Youth  Services Recent Accomplishments  Identify and provide entertainment options for residents  Identified connections for client supports   MIS and HMIS  Identified discharge transportation options  Contracts executed for security, laundry and meals for the  Isolation Shelter  Arranged alternative housing for Polk County essential  employees 23 Our success is measured by how well we help others succeed.",0.0,polk,Iowa,1,FAIL
,4588,"Meanwhile, here are   some other reports exploring similar territory:      clues   Four lessons from the 1918 pandemic     MLT to Distribute Face Coverings Citywide   The City of Mountlake Terrace will be mailing two face   masks to each  home and business in a few weeks to help ensure compliance with     The city has begun distributing the first shipment of cloth face coverings  provided by Snohomish County Department of Emer gency Management  that are designated for low - income residents.",0.0,snohomish,Washington,1,FAIL
,7353,"o Surfaces and objects in public places, such as shopping carts and point of sale  keypads should be clea ned and disinfected before each use.",1.0,polk,Iowa,0,FAIL
21-Jul,125,"Back-to-Business Toolkit | Page 6Safe Start Washington PHASED APPROACH TO REOPENING WASHINGTON AND MODIFYING PHYSICAL DISTANCING MEASURES Phase I of reopening Washington began on May 5, 2020.",0.0,kitsap,Washington,1,FAIL
,2986,"The governor  was   joined by: Anthony Anton, Washington Hospitality  Association; Renee Sunde, Washington Retail Association; and Jennifer  Moran, Wash ington Auto Dealers Association.",1.0,snohomish,Washington,0,FAIL
,3327,"Travel Alert: I - 5 Express Lanes to Close Early Until Further  Notice   With more businesses   reopening under Phase 2, please be aware that the  Interstate 5 express lanes through Seattle will be fully closed early, at 8 p.m.  nightly, including weekends, and will reopen as usual the following  mornings.",0.0,snohomish,Washington,1,FAIL
21-Jul,172,"Disinfecting solutions should be made available at every public interaction area and employee work area and a plan should be made as to how often areas are cleaned and disinfected, including restrooms, cashier stations, POS stations, credit card readers, doorknobs, handrails, public areas, employee areas, company vehicles, offices, workstations, phones, keyboards, phones, staplers, and other work equipment.",0.0,kitsap,Washington,1,FAIL
21-Jul,223,"In Phase One, we will allow a maximum of 10 people at any one time, this will increase to 15 in Phase Two, which we will hold until all restrictions are lifted or changed.",1.0,kitsap,Washington,0,FAIL
21-Jul,226,Communication and Marketing Our reopening plan is posted on our website and Facebook pages.,1.0,kitsap,Washington,0,FAIL
21-Jul,216,Markings have been installed on the floor every six feet at the check out counter.,1.0,kitsap,Washington,0,FAIL
21-Jul,191,Make sure to test run the sanitation plan and add new areas as needed.,1.0,kitsap,Washington,0,FAIL
,15725,"( NEW )     ESF #9: Search and Rescue   (extrication and location of missing   persons)   Nothing to report   Polk County Emergency Management Agency     COVID - 19 (Incident 2020 - 03 - 04)     -   Page  9   of  10   -     ESF #10: Hazardous Materials   Nothing to report     ESF #11: Agriculture, Natural Resources, and Pets   ARL : Currently no change in services or hours  but  reducing public access at ARL buildings ;  updates at arl - iowa.org.",,polk,Iowa,0,FAIL
