category,diff_line,county,state
,"FOR IMMEDIATE RELEASE March 13, 2020    This is a joint release from the Lummi Indian Business Council and the Whatcom County Health Department.",whatcom,Washington
,Media Contact:  Lummi Indian Business Council    Anthony Hillaire anthonyh@lummi-nsn.gov       Whatcom County Health Department   Health-PIO@co.whatcom.wa.us,whatcom,Washington
,Notice of Potential Public Exposure to COVID-19,whatcom,Washington
,"BELLINGHAM, WA – During the case investigation of a laboratory-confirmed positive patient, it has been determined that there was a potential public exposure on March 10th, 2020 between 11:30 a.m. and 1:00 p.m. at The Silver Reef Casino Buffet.",whatcom,Washington
,We know that COVID-19 is most likely to be transmitted to close contacts of a person with COVID-19.,whatcom,Washington
,This is when people have been with someone with COVID-19 for at least 10 minutes within 6 feet of that person or had contact with any secretions through being coughed on or in direct physical contact.,whatcom,Washington
,People who did not have close contact with this individual have no greater risk of infection than the general public.,whatcom,Washington
,Lummi Public Health Department and the Whatcom County Health Department are investigating the potential exposure for Lummi Nation and Whatcom County residents.,whatcom,Washington
,Individuals who are identified as having close contact with the known case will be communicated with directly and provided with supportive information and direction on how to protect their health and that of the wider community.,whatcom,Washington
,"For people who were at The Silver Reef Casino Buffet on March 10th and have concerns about their individual circumstances, they are invited to contact the Whatcom County Health Department at 360-778-6100 or the Lummi Public Health Line at 360-383-8251.",whatcom,Washington
,"For people who were at The Silver Reef Casino Buffet or at the Silver Reef Casino and do not think they had close contact with this individual, we recommend they take the same precautionary measures as the general public:",whatcom,Washington
,  Stay home when you are sick.,whatcom,Washington
,  Wash your hands frequently and don’t touch your nose mouth or eyes.,whatcom,Washington
,  Avoid large crowds and gatherings.,whatcom,Washington
,"  Take particular care to protect people 60 years and older, people with underlying health conditions and pregnant people.",whatcom,Washington
,  Preserve our healthcare resources for those who most need them.,whatcom,Washington
,This is a challenging time and we recognize that everyone has concern about the impacts of COVID-19 on ourselves and our loved ones.,whatcom,Washington
,"For updated information about COVID-19 and our local situation, please go to the Whatcom County Health Department website at www.whatcomcounty.us/covid or Lummi Communications Facebook page.",whatcom,Washington
,###,whatcom,Washington
,"WHATCOM COUNTY   Erika Lautenbach, Director Health Department  Greg Stern, M.D., Health Officer FOR IMMEDIATE RELEASE March 18, 2020                 Media Contact:        Melissa Morin, Lead Public Information Officer Phone:                      (360) 594-2504 E-mail address:       health-pio@co.whatcom.wa.us; mmorin@co.whatcom.wa.us  Whatcom County Health Department Identifies Two New Cases of COVID-19 BELLINGHAM, WA – As of today, there are a total of seven (7) confirmed cases of 2019 novel coronavirus (COVID-19) in Whatcom County.",whatcom,Washington
,This includes two new confirmed cases identified by the Whatcom County Health Department on March 17.,whatcom,Washington
,One new case is a male in his 50s.,whatcom,Washington
,The second new case is a male in his teens.,whatcom,Washington
,One case is a known close contact of a lab-confirmed case.,whatcom,Washington
,The disease investigation for the other case is currently ongoing.,whatcom,Washington
,We are collaborating with the Lummi Public Health Department on these disease investigations as we do for all investigations that also fall under tribal jurisdiction.,whatcom,Washington
,"With a growing number of cases in Whatcom County that aren’t linked directly to a known source, it is clear that there is community spread of the virus that causes COVID-19.",whatcom,Washington
,This indicates the risk to the general public is increasing.,whatcom,Washington
,The Whatcom County Health Department will no longer be reporting specific locations of public exposures to confirmed cases of COVID-19 because any public location could potentially be a site for exposure to the virus.,whatcom,Washington
,"“It’s important for everyone to realize that the social distancing actions required by the Governor, and the further recommendations from our Whatcom County Health Officer, are a vitally important part of our defense against the spread of COVID-19,” said Cindy Hollinsworth, Communicable Disease and Epidemiology Manager for the health department.",whatcom,Washington
,"“It is essential that people wash their hands frequently, limit the size of gatherings to less than 10 people, and stay home if they have any symptoms of a respiratory illness because these are such important steps for controlling this outbreak.” Local and regional case and contact investigations indicate that people are being infected without contact to a known case and in people without a travel history.",whatcom,Washington
,This tells us that there are far more underlying cases in the community than the known confirmed cases reported on our website daily.,whatcom,Washington
,For more information about COVID-19 visit the Washington State Department of Health website and the Whatcom County Health Department website.,whatcom,Washington
,Questions for WCHD can also be emailed to covid@co.whatcom.wa.us  ###,whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"FOR IMMEDIATE RELEASE  March 25, 2020",whatcom,Washington
,"Media Contact:  Claudia Murphy, Public Information Officer  Phone:     (360) 815-2701  E-mail address:  WUC_JIC@co.whatcom.wa.us",whatcom,Washington
,Whatcom Unified Command Supports Community Partnership in Response to Increased Need at Shuksan Healthcare Center,whatcom,Washington
,"BELLINGHAM, WA—Whatcom Unified Command (WUC) has facilitated a collaboration with PeaceHealth to support Shuksan Healthcare Center amid the COVID-19 outbreak.",whatcom,Washington
,"On Sunday, March 22, WUC announced 32 COVID-19 cases associated with Shuksan Healthcare Center.",whatcom,Washington
,WUC and PeaceHealth are working together to support Shuksan Healthcare Center to ensure they are able to continue to provide continuing care to their residents for the best patient outcomes as possible.,whatcom,Washington
,"On Monday, March 23, updated protocols went into effect that are intended to help limit the spread of COVID-19, especially within our community’s vulnerable populations.",whatcom,Washington
,"Additionally, Governor Inslee’s “Stay Home, Stay Healthy” Order has been implemented to slow the spread of COVID-19 in all settings.",whatcom,Washington
,"PeaceHealth will be supporting Shuksan Healthcare Center by providing supplemental healthcare provider capacity for at least four weeks, effective immediately.",whatcom,Washington
,"These providers, including registered nurses (RNs), certified nursing assistants (CNAs), and licensed practicing nurses (LPNs), have all volunteered for this temporary assignment at Shuksan Healthcare Center.",whatcom,Washington
,The PeaceHealth providers will be working full time at Shuksan and will not be providing service at any other healthcare facility.,whatcom,Washington
,"Upon ending their time at Shuksan, providers will enter into a two week, fully-paid furlough period to ensure safety for all patients.",whatcom,Washington
,"At Whatcom Unified Command, we share our heartfelt support and appreciation for these healthcare providers.",whatcom,Washington
,"In addition, PeaceHealth will be providing meal service for Shuksan Healthcare Center, which has been ongoing since Monday, March 23.",whatcom,Washington
,Three meals a day for at least two weeks will be provided to residents.,whatcom,Washington
,Whatcom Transit Authority will transport the meals from PeaceHealth to Shuksan using appropriate protocols.,whatcom,Washington
,WUC is developing a strategy to provide supplemental cleaning at the facility.,whatcom,Washington
,Incident Commanders for Whatcom Unified Command praised the efforts: “This exemplifies why we came together to solve problems throughout the community to mitigate the impacts of this pandemic.”   This coordinated response with Shuksan Healthcare Center is an example of how Unified Command is prepared to address and resolve community needs.,whatcom,Washington
,"Together, we continue to rise to meet this and other looming needs.",whatcom,Washington
,PeaceHealth staff preparing meals for Shuksan Healthcare Center residents and staff.,whatcom,Washington
,Photo courtesy PeaceHealth ###,whatcom,Washington
,"WHATCOM COUNTY   Kathleen Roy, Assistant Director Health Department  Greg Stern, M.D., Health Officer",whatcom,Washington
,"FOR IMMEDIATE RELEASE March 10, 2020                 Media Contact:        Melissa Morin, Communications Specialist Phone:                      (360) 594-2504 E-mail address:       health-pio@co.whatcom.wa.us; mmorin@co.whatcom.wa.us                                               COVID-19 CONFIRMED IN A WHATCOM COUNTY RESIDENT BELLINGHAM, WA – Today the Washington State Department of Health (DOH) confirmed a case of 2019 novel coronavirus (COVID-19) in a Whatcom County resident.",whatcom,Washington
,The individual is a woman in her 60s who received medical care at PeaceHealth St. Joseph’s Medical Center.,whatcom,Washington
,"Her condition improved, and she was discharged.",whatcom,Washington
,Since that time she has been self-isolated at home.,whatcom,Washington
,She has no known international travel history.,whatcom,Washington
,The Whatcom County Health Department is working aggressively to identify all those who may have come in contact with the confirmed case.,whatcom,Washington
,"Close contacts may include family members, co-workers, emergency responders and others.",whatcom,Washington
,These people will be closely monitored for symptoms to avoid further spread of this virus.,whatcom,Washington
,“We understand that news of this first confirmed case in our community creates fear and uncertainty.,whatcom,Washington
,"Our public health team is working intensively to investigate the case, identify close contacts, and coordinate with our medical and community partners to protect public health,” said Dr. Greg Stern, Whatcom County Health Officer.",whatcom,Washington
,"“We are particularly thankful for the Whatcom County medical community, which has been in close communication with us about evaluating specific patients and implementing evolving guidelines.” With a growing number of cases in Washington State and the U.S., the risk to the general public is increasing.",whatcom,Washington
,"The risk to the local community is being assessed regularly and public health recommendations will be updated, as needed, based on the current risk.",whatcom,Washington
,"“I want to share gratitude to our health care workers and public health staff”, said Whatcom County Executive Satpal Sidhu.",whatcom,Washington
,“Our public health professionals have been working around the clock to coordinate the response to this outbreak and our health care workers have shown diligence and compassion in their work.,whatcom,Washington
,Our communities rely on these essential roles and so many people have risen to the challenge.” For more information on novel coronavirus This is an emerging outbreak with rapidly evolving information.,whatcom,Washington
,Updates will be made as new information is available on the DOH website and Whatcom County Health Department’s website.,whatcom,Washington
,"These websites include information for individuals, community organizations, schools and childcare facilities.",whatcom,Washington
,Websites are being updated as new information becomes available.,whatcom,Washington
,"(More…) 509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health WHATCOM COUNTY   Kathleen Roy, Assistant Director Health Department  Greg Stern, M.D., Health Officer",whatcom,Washington
,Questions for WCHD can also be emailed to covid@co.whatcom.wa.us  The Washington State Department of Health has established a call center to address questions from the public.,whatcom,Washington
,"If you have questions about what is happening in Washington state, how the virus is spread, and what to do if you have symptoms, please call 1-800-525-0127 and press #.",whatcom,Washington
,"509 Girard Street Bellingham, WA 98225-4005  1500 North State Street 360 .778.6000 | FAX 360.778.6001  Bellingham, WA 98225-4551 WhatcomCountyHealth  360.778.6100 | FAX 360.778.6101 WhatcomCoHealth  www.whatcomcounty.us/health",whatcom,Washington
,"FOR IMMEDIATE RELEASE March 21, 2020                 Media Contact:        Claudia Murphy, Public Information Officer Phone:                      (360) 815-2701 E-mail address:       WUC_JIC@co.whatcom.wa.us                                              Second COVID-19 Related Death in Whatcom County; Three Residents at Skilled Nursing Facility Test Positive BELLINGHAM, WA – Whatcom Unified Command (WUC) announces the death of a second Whatcom County resident from the 2019 novel coronavirus (COVID-19).",whatcom,Washington
,This individual was a man in his 80s who was tested before he passed away at his home on March 20.,whatcom,Washington
,His test results came back positive this morning.,whatcom,Washington
,"This announcement brings the total number of confirmed deaths in Whatcom County to two and the total number of confirmed positive test results to 14 as of 9:20am today, Saturday, March 21.",whatcom,Washington
,"Also, two additional residents of a Bellingham skilled nursing facility have tested positive for COVID-19.",whatcom,Washington
,There are now three confirmed cases at the Shuksan Healthcare Center.,whatcom,Washington
,No deaths have been connected to that facility.,whatcom,Washington
,The two additional residents who have tested positive for COVID-19 are a female in her 60s and a female in her 70s.,whatcom,Washington
,"These two cases are in addition to one case announced yesterday, March 20, in a resident at the same facility, a male in his 80s.",whatcom,Washington
,All the individuals are currently being cared for at Shuksan Healthcare Center.,whatcom,Washington
,"Whatcom Unified Command and the staff of Shuksan Healthcare Center are deeply committed to the health and safety of all residents, and the larger Whatcom County community.",whatcom,Washington
,"Whatcom County Health Department (WCHD) staff, working within Unified Command, are working to identify all close contacts and test everyone who needs to be tested.",whatcom,Washington
,All consenting residents have been tested.,whatcom,Washington
,Staff with respiratory symptoms were tested yesterday and are awaiting results.,whatcom,Washington
,Test results are expected early next week.,whatcom,Washington
,Staff who have been tested have also been excluded from work.,whatcom,Washington
,All close contacts of the three confirmed cases will be notified and given instructions for taking appropriate precautions.,whatcom,Washington
,The WCHD is working closely with infection prevention specialists from the Washington State Department of Health and staff at the facility to ensure the proper care for ill patients while protecting uninfected residents and staff.,whatcom,Washington
,Residents are isolated.,whatcom,Washington
,Both residents and staff will continue to be monitored frequently for symptoms.,whatcom,Washington
,Staff at the facility have been taking proactive measures to protect residents and staff due to the threat of COVID-19.,whatcom,Washington
,"They have also been following the orders under the Governor’s proclamation from March 16, which included prohibiting visitors and screening all staff for fever and respiratory symptoms daily.",whatcom,Washington
,"Whatcom Unified Command is working to fulfill resource requests, including getting N95 masks and gloves to local healthcare providers, including Shuksan Healthcare Center.",whatcom,Washington
,WUC appreciates the cooperation of the staff and leadership at Shuksan Healthcare Center during this difficult time.,whatcom,Washington
,"They are doing everything they can to protect the health of residents, and Whatcom Unified will continue to work with them to coordinate care and resources.",whatcom,Washington
,"For more information on novel coronavirus While most cases of COVID-19 are mild to moderate, approximately 15% of people infected with the virus that causes COVID-19 will have serious illness.",whatcom,Washington
,"It is vitally important that people continue to take steps to protect family members, friends and neighbors from this infection.",whatcom,Washington
,Stay home as much as possible and limit exposure to others.,whatcom,Washington
,"If you are at risk for severe disease, it is especially important to take the necessary steps to limit potential exposure.",whatcom,Washington
,Guidelines can be found at www.whatcomcounty.us/covid.,whatcom,Washington
,This is an emerging outbreak with rapidly evolving information.,whatcom,Washington
